name,logo_url
Adidas,https://upload.wikimedia.org/wikipedia/commons/2/20/Adidas_Logo.svg
Decathlon,https://upload.wikimedia.org/wikipedia/commons/9/9a/Decathlon_Logo.svg
Tbs,https://upload.wikimedia.org/wikipedia/commons/4/4c/TBS_logo.svg
Skechers,https://upload.wikimedia.org/wikipedia/commons/9/91/Skechers_logo.svg
Umbro,https://upload.wikimedia.org/wikipedia/commons/7/78/Umbro_logo.svg
Puma,https://upload.wikimedia.org/wikipedia/commons/f/fd/Puma_Logo.svg
Kappa,https://cdn.worldvectorlogo.com/logos/kappa-1.svg
Fila,https://upload.wikimedia.org/wikipedia/commons/3/38/Fila_logo.svg
Asics,https://upload.wikimedia.org/wikipedia/commons/2/26/Asics_Logo.svg
New Balance,https://upload.wikimedia.org/wikipedia/commons/6/69/New_Balance_logo.svg
Reebok,https://commons.wikimedia.org/wiki/Special:FilePath/Reebok%202019%20logo.svg
Le Coq Sportif,https://commons.wikimedia.org/wiki/Special:FilePath/Wordmark%20Le%20Coq%20Sportif.svg
Aigle,https://commons.wikimedia.org/wiki/Special:FilePath/AIGLE-LOGO.jpg
Tarmak,
Kipsta,https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Kipsta.jpg
Newfeel,
Dc Shoes,https://commons.wikimedia.org/wiki/Special:FilePath/Dclogo.png
Salomon,https://commons.wikimedia.org/wiki/Special:FilePath/Salomon_logo_2022.svg
Oxelo,
Domyos,
Quechua,https://commons.wikimedia.org/wiki/Special:FilePath/Quechua-logo.svg
Rigorer,
Merrell,https://commons.wikimedia.org/wiki/Special:FilePath/Merrell-Logo.svg
Adidas Yeezy,
Armani Exchange,
Asso,
Avia,
Babolat,https://commons.wikimedia.org/wiki/Special:FilePath/Babolat_logo.svg
Birkenstock,https://commons.wikimedia.org/wiki/Special:FilePath/Birkenstock%202021%20logo.svg
Blanditos By Crio'S,
Blauer,
Brooks,https://commons.wikimedia.org/wiki/Special:FilePath/Brooks_sports_logo.png
Brutting,
Campagnolo,
Camper,
Caterpillar,https://commons.wikimedia.org/wiki/Special:FilePath/Caterpillar_logo.svg
Champion,https://commons.wikimedia.org/wiki/Special:FilePath/Champion%20USA%20logo.svg
Chicco,https://commons.wikimedia.org/wiki/Special:FilePath/Chicco_logo.svg
Clarks,https://commons.wikimedia.org/wiki/Special:FilePath/C%20%26%20J%20Clarks%20International%20company%20logo.svg
Cmp,
Colmar,
Columbia,https://commons.wikimedia.org/wiki/Special:FilePath/Columbia_Sportswear_Co_logo.svg
Converse,https://commons.wikimedia.org/wiki/Special:FilePath/Converse_logo.svg
Crocs,https://commons.wikimedia.org/wiki/Special:FilePath/Crocs_wordmark.svg
Diadora,https://commons.wikimedia.org/wiki/Special:FilePath/Diadora_logo.png
Dr.Martens,https://commons.wikimedia.org/wiki/Special:FilePath/Dr._Martens_Logo.svg
Ecco,https://commons.wikimedia.org/wiki/Special:FilePath/Ecco_shoes_logo.svg
Ecoalf,
Endurance,
Enell,
Garmont,
Garvalin,
Geox,
Gioseppo,
Globe,
Gola,
Grisport,
Havaianas,https://commons.wikimedia.org/wiki/Special:FilePath/Havaianas_brand_logo.png
Head,https://commons.wikimedia.org/wiki/Special:FilePath/HEAD.svg
Helly Hansen,https://commons.wikimedia.org/wiki/Special:FilePath/Hellyhansen_logo.png
Hoff,
Hummel,https://commons.wikimedia.org/wiki/Special:FilePath/Hummel_logo_aktuell.svg
J'Hayber,
Jack Wolfskin,https://commons.wikimedia.org/wiki/Special:FilePath/JW_Wordmark_FW22_black.svg
Jack&Jones,
Joma,https://commons.wikimedia.org/wiki/Special:FilePath/Joma%20Sport.svg
Jordan,
Junglo,
Kangaroos,
Kawasaki,
Keen,
Kelme,
Kickers,
La Sportiva,https://commons.wikimedia.org/wiki/Special:FilePath/La_Sportiva_Logo.svg
Lacoste,https://commons.wikimedia.org/wiki/Special:FilePath/Lacoste_wordmark_2011.svg
Levi'S,
Lico,
Lois,
Lotto,https://commons.wikimedia.org/wiki/Special:FilePath/Lotto_Sport_Italia_Logo.svg
Magnum,
Mammut,https://commons.wikimedia.org/wiki/Special:FilePath/Mammut-1.png
Mbt,
Mizuno,https://commons.wikimedia.org/wiki/Special:FilePath/MIZUNO%20logo.svg
Mtng,
Munich,
Mustang,
Nautica,
Nike,https://commons.wikimedia.org/wiki/Special:FilePath/Nike_wordmark.svg
On Running,https://commons.wikimedia.org/wiki/Special:FilePath/On-cloud-logo-white-background.svg
Onitsuka Tiger,https://commons.wikimedia.org/wiki/Special:FilePath/Onitsuka_Tiger_wordmark.svg
Pablosky,
Palladium,
Panama Jack,
Paredes,
Pataugas,
Peak International,
Peak,
Pepe Jeans,https://commons.wikimedia.org/wiki/Special:FilePath/Pepe-Jeans-Logo.svg
Pikolinos,
Refresh,
Regatta,https://commons.wikimedia.org/wiki/Special:FilePath/Regatta_Clothing_logo.jpg
Saguaro,
Salewa,https://commons.wikimedia.org/wiki/Special:FilePath/SALEWA_logo.jpg
Saucony,https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Saucony.svg
Serge Blanco,
Sorel,
Sun68,
Supreme,
Teva,https://commons.wikimedia.org/wiki/Special:FilePath/Teva_sandals_logo.png
Timberland,https://commons.wikimedia.org/wiki/Special:FilePath/Timberland-logo.png
Tommy Hilfiger,https://commons.wikimedia.org/wiki/Special:FilePath/Tommy_hilfig_vectorlogo.svg
Ugg,https://commons.wikimedia.org/wiki/Special:FilePath/UGG_logo.svg
Under Armour,https://commons.wikimedia.org/wiki/Special:FilePath/Under_armour_logo.svg
Vans,https://commons.wikimedia.org/wiki/Special:FilePath/Vans%20(brand)%20logo.svg
Victoria,
Xti,
Xtikids,
Zigzag,
