slug,name,brand,description,base_price,scraped_from,image_url
terrex-anylander-impermeable,TERREX ANYLANDER IMPERMEABLE,Adidas,(4),84.99,https://www.decathlon.fr/p/adidas-terrex-anylander-impermeable/_/R-p-X8921037?mc=8921037,https://contents.mediadecathlon.com/p2784230/k$3bbcb44ebaee5524431386d879bf0193/sq/8921037.jpg?format=auto&f=800x0
baksets-homme-klnj-be-d,"Baksets homme, KLNJ BE D",Decathlon,(934),18.99,https://www.decathlon.fr/p/baksets-homme-klnj-be-d-noir/_/R-p-347008?mc=8803394&c=gris,https://contents.mediadecathlon.com/p2633211/k$b77f3178e05006b1c9f09e66f6e3e181/sq/8803394.jpg?format=auto&f=800x0
ballerines-de-marche-urbaine-femme-pw-160-br-easy,BALLERINES DE MARCHE URBAINE FEMME PW 160 BR'EASY,Decathlon,(2671),26.99,https://www.decathlon.fr/p/ballerines-marche-sportive-femme-pw-160-br-easy-rose/_/R-p-302450?mc=8774198&c=noir,https://contents.mediadecathlon.com/p2394347/k$553e2f16bef81c5f057e6cc8a4dcdf66/sq/8774198.jpg?format=auto&f=800x0
basket-de-marche-en-toile-femmetbs-lescala,Basket de marche en toile femmeTBS Lescala,Tbs,(10),24.99,https://www.decathlon.fr/p/basket-de-marche-en-toile-femmetbs-lescala-beige/_/R-p-X8950700?mc=8950700,https://contents.mediadecathlon.com/p2872779/k$a6eb469fcb925cfb6b8e28063b461e0f/sq/8950700.jpg?format=auto&f=800x0
basket-de-marche-femme-flex-appeal-5-0-fresh-touch,"Basket de marche Femme, Flex Appeal 5.0 Fresh Touch",Skechers,(213),44.99,https://www.decathlon.fr/p/basket-de-marche-femme-flex-appeal-5-0-fresh-touch/_/R-p-364864?mc=8940305,https://contents.mediadecathlon.com/p2871762/k$f311afd71f9d59d2ae638a3931eebae0/sq/8940305.jpg?format=auto&f=800x0
basket-de-marche-femme-go-walk-joy,"Basket de marche femme, Go walk Joy",Skechers,(178),44.99,https://www.decathlon.fr/p/basket-de-marche-femme-go-walk-joy-violet-noir/_/R-p-364790?mc=8941824,https://contents.mediadecathlon.com/p2794396/k$908537a5a4c12399d4861601f0269279/sq/8941824.jpg?format=auto&f=800x0
basket-de-marche-homme-edgeride,Basket de marche Homme Edgeride,Skechers,(57),44.99,https://www.decathlon.fr/p/basket-de-marche-homme-edgeride-bleu/_/R-p-373303?mc=8966089,https://contents.mediadecathlon.com/p2970078/k$2f489490cb8892e42e20c0234f89e3f1/sq/8966089.jpg?format=auto&f=800x0
basket-de-marche-sportive-femme-go-walk-flex-caley,BASKET DE MARCHE SPORTIVE FEMME GO WALK FLEX CALEY,Skechers,(126),49.99,https://www.decathlon.fr/p/basket-de-marche-sportive-femme-skechers-go-walk-flex-caley-navy/_/R-p-357851?mc=8911516,https://contents.mediadecathlon.com/p2689297/k$6c0731c4783efb829021d8156e4900fe/sq/8911516.jpg?format=auto&f=800x0
basket-de-marche-sportswear-slip-ins-femme,Basket de marche sportswear SLIP INS FEMME,Skechers,(21),74.99,https://www.decathlon.fr/p/basket-de-marche-sportswear-skechers-slip-ins-rose-femme/_/R-p-X8950616?mc=8950616,https://contents.mediadecathlon.com/p2866070/k$928a3dd154ccef7c4bc97357c45de09e/sq/8950616.jpg?format=auto&f=800x0
basket-de-ville-femme-uno-air-spread-love-j-crown,"Basket de ville Femme, UNO Air SPREAD LOVE J crown",Skechers,(1),89.99,https://www.decathlon.fr/p/basket-de-ville-femme-skechers-uno-air-spread-love-j-goldcrown/_/R-p-X8964529?mc=8964529,https://contents.mediadecathlon.com/p2960815/k$9e892ca36036ef4921739b6f7724ce5b/sq/8964529.jpg?format=auto&f=800x0
