model_slug,name,brand,description,sku_model
elastiques-nebzed,élastiques nebzed,ADIDAS,Chaussure à lacets élastiques et scratch Nebzed,ADI-01b9e51d1f
adulte---adidas-d-o-n-issue-6,adulte - adidas d.o.n issue 6,ADIDAS,Chaussures de basketball Adulte - Adidas D.O.N Issue 6 vert blanc,ADI-09bfdbdd17
adidas-disney-minnie-mouse-grand-court-2-0,adidas disney minnie mouse grand court 2.0,ADIDAS,CHAUSSURE ADIDAS DISNEY MINNIE MOUSE GRAND COURT 2.0 BÉBÉS,ADI-0d7b03f98d
aspyre,aspyre,ADIDAS,Chaussure Aspyre,ADI-124a32df58
vl-court-3-0,vl court 3.0,ADIDAS,Chaussure VL Court 3.0,ADI-1350a418d1
adidas---hyperhiker-low---30-au-38,adidas - hyperhiker low - 30 au 38,ADIDAS,CHAUSSURE ADIDAS DE RANDONNEE - HYPERHIKER LOW NOIRE - ENFANT 30 AU 38,ADI-16a7d026c3
adulte---adidas-dame-x,adulte - adidas dame x,ADIDAS,Chaussures de basketball Adulte - Adidas Dame X vert et orange,ADI-183c56e4d3
aspyre-adidas,aspyre adidas,ADIDAS,CHAUSSURE HOMME ASPYRE ADIDAS BLANC BLEU,ADI-190c15c5b4
vl-court-3-0-adidas,vl court 3.0 adidas,ADIDAS,CHAUSSURE FEMME VL COURT 3.0 ADIDAS BLANC NOIR,ADI-1997aef272
dropset-control,dropset control,ADIDAS,Chaussure de training Dropset Control,ADI-1a468d925d
adidas-grand-court-mid,adidas grand court mid,ADIDAS,Chaussure adidas GRAND COURT MID enfant - bleu,ADI-1c996403e6
courtquick-padel,courtquick padel,ADIDAS,Chaussure Courtquick Padel,ADI-1cc36a3c7e
breaknet-court,breaknet court,ADIDAS,Chaussure à lacets Breaknet Lifestyle Court,ADI-22b6724cfa
run-70s-2-0-shoes,run 70s 2.0 shoes,ADIDAS,RUN 70s 2.0 Shoes,ADI-23cc1d1103
dame-x,dame x,ADIDAS,Chaussure Dame X,ADI-25e8081c4d
polyvalente-multicourt--gamespec,"polyvalente multicourt , gamespec",ADIDAS,"Chaussures de tennis polyvalente multicourt enfant, gamespec bleu jaune",ADI-26f2a7fc91
grand-court-00s,grand court 00s,ADIDAS,Chaussure Grand Court 00s Enfants,ADI-273f4f2e5c
grand-court-2-0,grand court 2.0,ADIDAS,Chaussure Grand Court 2.0 Enfants,ADI-279335a024
adulte---adidas-own-the-game-3-0,adulte - adidas own the game 3.0,ADIDAS,Chaussure de basketball Adulte - adidas Own The Game 3.0 blanc noir,ADI-286a8aa5ac
lite-racer-4-0,lite racer 4.0,ADIDAS,Chaussure Lite Racer 4.0,ADI-2943777ea3
advantage-tensaur-switch,advantage tensaur switch,ADIDAS,"Chaussures Advantage Tensaur Switch enfant, noir et rouge",ADI-2bca7aa37f
grand-court-tennis-lace-up,grand court tennis lace-up,ADIDAS,Chaussure Grand Court Lifestyle Tennis Lace-Up,ADI-2bcaf0bd3f
indoor-adidas-crazyflight-6-mid,indoor adidas crazyflight 6 mid,ADIDAS,Chaussures indoor femme adidas Crazyflight 6 Mid,ADI-2dc3798966
tensaur-run-adidas,tensaur run adidas,ADIDAS,CHAUSSURES TENSAUR RUN ADIDAS ENFANT ROSE BLANC ORANGE,ADI-3016641f39
fortarun-4-0,fortarun 4.0,ADIDAS,Chaussures Fortarun 4.0 Enfants,ADI-319673447e
tensaur-run,tensaur run,ADIDAS,"Chaussures enfant Tensaur Run, noir rose",ADI-31a8628d68
handball---adidas-stabil-,handball - adidas stabil /,ADIDAS,Chaussures de handball enfant - Adidas Stabil blanc / bleu,ADI-3450227d93
boost-350-v2-clay,boost 350 v2 clay,ADIDAS YEEZY,Chaussures  Boost 350 V2 Clay,ADI-34eba9b5ef
boost-350-v2-beluga-2-0,boost 350 v2 beluga 2.0,ADIDAS YEEZY,Chaussures  Boost 350 V2 Beluga 2.0,ADI-36b73bf5a6
hoops-3-0-mid-wtr-adidas,hoops 3.0 mid wtr adidas,ADIDAS,CHAUSSURE FEMME HOOPS 3.0 MID WTR ADIDAS NOIRE,ADI-37a08d39a2
indoor-adidas-courtstabil,indoor adidas courtstabil,ADIDAS,Chaussures indoor femme adidas Courtstabil,ADI-3a46eb0523
adidas-vl-court-3-0,adidas vl court 3.0,ADIDAS,Chaussures de sport pour homme - Noir - Adidas VL Court 3.0,ADI-3c33238633
adulte---adidas-d-o-n-issue-7,adulte - adidas d.o.n issue 7,ADIDAS,"Chaussures de basketball Adulte - Adidas D.O.N ISSUE 7 noir, jaune et rose",ADI-3d9247160b
handball-adulte---adidas-adizero-select-3-0,handball adulte - adidas adizero select 3.0,ADIDAS,Chaussures de handball Adulte - adidas Adizero Select 3.0 blanc,ADI-42e731bcd1
adidas-initiation,adidas initiation,ADIDAS,adidas Initiation,ADI-433ac2e44b
turnaround,turnaround,ADIDAS,Chaussure Turnaround,ADI-46dc6ff9f3
adidas-grand-court-00s,adidas grand court 00s,ADIDAS,"Baskets Femme, Adidas Grand court 00s, noir",ADI-4740b14600
adidas-runfalcon-5,adidas runfalcon 5,ADIDAS,Chaussures de running adidas Runfalcon 5,ADI-47edb9a52e
grand-court,grand court,ADIDAS,"Chaussures Grand Court enfant, blanc et rose",ADI-4984c9901b
adidas-own-the-game-3-0,adidas own the game 3.0,ADIDAS,Chaussures de basketball Enfant - Adidas Own The Game 3.0 noir,ADI-49a56947b5
tensaur-run-3-0,tensaur run 3.0,ADIDAS,Chaussure Tensaur Run 3.0 Enfants,ADI-4bb0ffb8ed
amplimove,amplimove,ADIDAS,Chaussure training Amplimove,ADI-51d7a0dea4
run-60s-4-0,run 60s 4.0,ADIDAS,Chaussure Run 60s 4.0,ADI-51e4c550c3
daily-4-0-adidas,daily 4.0 adidas,ADIDAS,CHAUSSURE HOMME DAILY 4.0 ADIDAS GRIS,ADI-5244ab55cd
defiant-speed-2,defiant speed 2,ADIDAS,Chaussure de tennis Defiant Speed 2,ADI-52ca39f38f
adidas-tensaur,adidas tensaur,ADIDAS,Chaussure adidas TENSAUR scratch enfant - bleu,ADI-52cb101a62
bravada-plateforme-menthe,bravada plateforme menthe,ADIDAS,"Baskets de marche femme, Bravada plateforme menthe",ADI-53641139d2
adidas-terrex-anylander,adidas terrex anylander,ADIDAS,ADIDAS TERREX ANYLANDER IMPERMEABLE,ADI-54f0c8523c
breaknet-sleek,breaknet sleek,ADIDAS,"Chaussure femme, breaknet sleek grise",ADI-569ca0e7f0
handball---adidas-ligra,handball - adidas ligra,ADIDAS,Chaussures de handball junior - adidas ligra noir,ADI-56cb7e876d
boost-350-v2-citrin-reflective,boost 350 v2 citrin reflective,ADIDAS YEEZY,Chaussures  Boost 350 V2 Citrin Reflective,ADI-5844bdc41e
racer-tr23-adidas,racer tr23 adidas,ADIDAS,CHAUSSURES RACER TR23 ADIDAS ENFANT BLEU BLANC JAUNE,ADI-5a4f7da4a1
advantage,advantage,ADIDAS,"Chaussures Advantage enfant, blanc",ADI-5caa3c36c0
adidas-grand-court,adidas grand court,ADIDAS,Baskets à lacets enfant - ADIDAS GRAND COURT,ADI-5faf31b950
run-84,run 84,ADIDAS,Chaussure Run 84,ADI-5fe3079fbe
