product_slug,eu_size,gender,color,color_family,price,stock_quantity,sku_variant,sku_model,image_url
elastiques-nebzed,28,child,unique,,38.05,41,cce7602ff4,ADI-01b9e51d1f,https://contents.mediadecathlon.com/m13321491/k$05b3ecb9b2fa81930b6cd288d951a723/sq/bfe43d8d-0a3b-40ba-b5b1-5a8d2cc5bfb2_c4c218c24.jpg?format=auto&f=800x0
elastiques-nebzed,29,child,unique,,38.05,46,8ce25de8cb,ADI-01b9e51d1f,https://contents.mediadecathlon.com/m13321491/k$05b3ecb9b2fa81930b6cd288d951a723/sq/bfe43d8d-0a3b-40ba-b5b1-5a8d2cc5bfb2_c4c218c24.jpg?format=auto&f=800x0
elastiques-nebzed,30,child,unique,,38.05,24,9a54b1e4f0,ADI-01b9e51d1f,https://contents.mediadecathlon.com/m13321491/k$05b3ecb9b2fa81930b6cd288d951a723/sq/bfe43d8d-0a3b-40ba-b5b1-5a8d2cc5bfb2_c4c218c24.jpg?format=auto&f=800x0
elastiques-nebzed,31,child,unique,,38.05,32,47ebf145aa,ADI-01b9e51d1f,https://contents.mediadecathlon.com/m13321491/k$05b3ecb9b2fa81930b6cd288d951a723/sq/bfe43d8d-0a3b-40ba-b5b1-5a8d2cc5bfb2_c4c218c24.jpg?format=auto&f=800x0
elastiques-nebzed,32,child,unique,,38.05,21,7d44f0d07b,ADI-01b9e51d1f,https://contents.mediadecathlon.com/m13321491/k$05b3ecb9b2fa81930b6cd288d951a723/sq/bfe43d8d-0a3b-40ba-b5b1-5a8d2cc5bfb2_c4c218c24.jpg?format=auto&f=800x0
elastiques-nebzed,33,child,unique,,38.05,47,1d09ac22a7,ADI-01b9e51d1f,https://contents.mediadecathlon.com/m13321491/k$05b3ecb9b2fa81930b6cd288d951a723/sq/bfe43d8d-0a3b-40ba-b5b1-5a8d2cc5bfb2_c4c218c24.jpg?format=auto&f=800x0
elastiques-nebzed,34,child,unique,,38.05,7,4c6941d011,ADI-01b9e51d1f,https://contents.mediadecathlon.com/m13321491/k$05b3ecb9b2fa81930b6cd288d951a723/sq/bfe43d8d-0a3b-40ba-b5b1-5a8d2cc5bfb2_c4c218c24.jpg?format=auto&f=800x0
elastiques-nebzed,35,child,unique,,38.05,45,9c288a2ca8,ADI-01b9e51d1f,https://contents.mediadecathlon.com/m13321491/k$05b3ecb9b2fa81930b6cd288d951a723/sq/bfe43d8d-0a3b-40ba-b5b1-5a8d2cc5bfb2_c4c218c24.jpg?format=auto&f=800x0
adulte---adidas-d-o-n-issue-6,39,men,blanc,blanc,71.99,37,4f16caaba0,ADI-09bfdbdd17,https://contents.mediadecathlon.com/p2945768/k$e35628b688d8fa8f34bf0e5712aef202/sq/8968268.jpg?format=auto&f=800x0
adulte---adidas-d-o-n-issue-6,40,men,blanc,blanc,71.99,30,f687b13e34,ADI-09bfdbdd17,https://contents.mediadecathlon.com/p2945768/k$e35628b688d8fa8f34bf0e5712aef202/sq/8968268.jpg?format=auto&f=800x0
adulte---adidas-d-o-n-issue-6,41,men,blanc,blanc,71.99,47,86054d57f1,ADI-09bfdbdd17,https://contents.mediadecathlon.com/p2945768/k$e35628b688d8fa8f34bf0e5712aef202/sq/8968268.jpg?format=auto&f=800x0
adulte---adidas-d-o-n-issue-6,42,men,blanc,blanc,71.99,40,e2351e1543,ADI-09bfdbdd17,https://contents.mediadecathlon.com/p2945768/k$e35628b688d8fa8f34bf0e5712aef202/sq/8968268.jpg?format=auto&f=800x0
adulte---adidas-d-o-n-issue-6,43,men,blanc,blanc,71.99,15,82ea4d3071,ADI-09bfdbdd17,https://contents.mediadecathlon.com/p2945768/k$e35628b688d8fa8f34bf0e5712aef202/sq/8968268.jpg?format=auto&f=800x0
adulte---adidas-d-o-n-issue-6,44,men,blanc,blanc,71.99,34,4d23b3c007,ADI-09bfdbdd17,https://contents.mediadecathlon.com/p2945768/k$e35628b688d8fa8f34bf0e5712aef202/sq/8968268.jpg?format=auto&f=800x0
